TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 22:21:19 +0000 2014,"b""#PiedPiper #Salmond: 'LastChance2makeHistory so DoIt!' HITLER GOT ELECTED BY SAME EMOTIVE METHOD #ScotlandDecides RT http://t.co/AC3Ay0ArOQ""",London,16725,10751,627,52827,72993,Mon Aug 03 15:36:45 +0000 2009,en
Wed Sep 17 22:20:53 +0000 2014,"b""RT @pjpaton: This Scottish Referendum has divided Scots like never before. It's a Terrible,Terrible Thing #Salmond and #Sturgeon have done \\u2026""","New Jersey,USA",6844,6714,242,44763,332094,Sun May 15 12:15:18 +0000 2011,en
Wed Sep 17 22:18:25 +0000 2014,"b""RT @pjpaton: This Scottish Referendum has divided Scots like never before. It's a Terrible,Terrible Thing #Salmond and #Sturgeon have done \\u2026""",,1537,1429,57,20193,63132,Tue Dec 06 22:52:13 +0000 2011,en
Wed Sep 17 22:18:06 +0000 2014,b'RT @doncollier: https://t.co/fieAhzSmsE rt \\n@LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/uPfBf5D42d',"Wales, United Kingdom",582,1096,8,7922,5505,Fri Feb 07 21:13:26 +0000 2014,en
Wed Sep 17 22:17:15 +0000 2014,"b'RT @SaveBlighty: ""If you want a picture of the future, imagine a boot stamping on a human face - forever."" - 1984\\n#Salmond #VoteNo2014 http\\u2026'",,99,466,5,6331,4166,Sat Jan 29 16:19:31 +0000 2011,en
Wed Sep 17 22:16:53 +0000 2014,b'RT @doncollier: https://t.co/fieAhzSmsE rt \\n@LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/uPfBf5D42d',Melton Mowbray,2578,1176,80,24971,124963,Mon Sep 10 19:50:27 +0000 2012,en
Wed Sep 17 22:14:18 +0000 2014,b'RT @LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/wn0rlmSK0A',"Montrose, Scotland ",2063,1407,32,23421,72766,Fri Aug 21 19:45:15 +0000 2009,en
Wed Sep 17 22:13:04 +0000 2014,"b""RT @AlexSpamond: Hahaha... Some of you actually think we're serious!!! #indyref #yesfail #salmond #yesflash http://t.co/NjNpZyWsvF""",Motherwell Scotland GB,544,1188,31,5316,82793,Sun Jun 07 16:32:05 +0000 2009,en
Wed Sep 17 22:12:35 +0000 2014,b'@Cookiedisco and clearly a bit fishy too #Salmond #cans on a Wednesday',Here,243,134,19,25111,36896,Mon Jan 26 22:39:48 +0000 2009,en
Wed Sep 17 22:12:23 +0000 2014,b'RT @LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/wn0rlmSK0A',"Montrose, Scotland",558,395,0,915,6149,Mon Aug 31 20:30:09 +0000 2009,en
Wed Sep 17 22:07:55 +0000 2014,b'https://t.co/fieAhzSmsE rt \\n@LCDK_UK: #Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/uPfBf5D42d',,1458,2817,32,13602,76820,Thu May 01 22:55:20 +0000 2008,en
Wed Sep 17 22:07:36 +0000 2014,"b""Whatever the sweaties decide, if they can't see all #Salmond is interested in is his own place in history they must be mad #selfobsessed""",Leamington spa,266,528,9,1781,21089,Mon Nov 01 09:00:25 +0000 2010,en
Wed Sep 17 22:07:29 +0000 2014,b'#Salmond is no #Gandhi young economist presenter on #newsnight',"Felixstowe, UK, Europe.",375,682,8,308,3128,Fri Oct 09 18:14:46 +0000 2009,en
Wed Sep 17 22:07:08 +0000 2014,"b'@Damocleansword @DoubleEph @seyitaylor @oged07 #Salmond was elected an MP &amp; stood up to Thatcher, Lawson when Cameron was still in Uni.'",ABZ. LOS...And beyond,6132,3640,94,115390,94229,Tue Aug 31 16:48:17 +0000 2010,en
Wed Sep 17 22:05:19 +0000 2014,b'@BBCNewsnight @AlexSalmond @bbclaurak Only when #Salmond has LEFT Scotland will it once be a team again ....',Lee On Solent South Coast.UK,3826,4864,57,33721,64815,Thu Jul 18 00:55:02 +0000 2013,en
Wed Sep 17 22:04:26 +0000 2014,"b""If #Scotland thinkUKpolitics is corrupt, they'll be shocked to realise all politics is the same.#Salmond is your Cameron in a kilt.#nothanks""",London,33,35,0,11,53,Fri Apr 06 14:17:32 +0000 2012,en
Wed Sep 17 22:04:07 +0000 2014,b'#Salmond has a masterplan for Scotland. #VoteNo #BetterTogether http://t.co/wn0rlmSK0A',"Belfast, United Kingdom 🇬🇧 ",3011,3152,46,602,72340,Sat Jan 08 10:56:56 +0000 2011,en
Wed Sep 17 22:02:53 +0000 2014,b'This Is What Happens When English People Try To Draw Scotland http://t.co/Wgp7KLmNdX #Salmond #indyref #referendum #YesOrNo',SW London,458,985,24,4935,5476,Fri Jan 27 19:09:54 +0000 2012,en
Wed Sep 17 22:01:59 +0000 2014,"b""RT @AlexSpamond: Looks like I'm buying the Sun tomorrow! #indyref #ScotDecides #VoteNo #VoteYes #Salmond #Edinburgh #Salmond http://t.co/qp\\u2026""",Scotland,1071,3893,70,42590,115445,Sat Jan 24 20:51:39 +0000 2009,en
Wed Sep 17 22:01:50 +0000 2014,"b'Not impressed with #Newsnight debate. Accusation #Salmond , #Sturgeon have no children unchallenged. #Yes interrupted, why is it in a tent?'",Landshut,471,228,27,10467,37799,Thu Feb 24 13:45:43 +0000 2011,en
Wed Sep 17 22:01:09 +0000 2014,b'Phone @Nigel_Farage (LBC) No1\\n#indyref false deal by #salmond selling independence\\nwhat scots will get is rule by #EU\\nhttp://t.co/Ihlf0iDiU7',Minneapolis,3706,4060,142,27900,185348,Tue Apr 06 08:39:34 +0000 2010,en
Wed Sep 17 22:00:47 +0000 2014,"b""@mhairi_mcalpine what's the use if your economy is tanking because #salmond was bluffing""",London Europe ,10216,6014,258,98430,318340,Thu Mar 22 22:25:39 +0000 2012,en
Wed Sep 17 22:00:46 +0000 2014,"b""RT @AlexSpamond: Looks like I'm buying the Sun tomorrow! #indyref #ScotDecides #VoteNo #VoteYes #Salmond #Edinburgh #Salmond http://t.co/qp\\u2026""","Scotland, United Kingdom",177,525,1,2229,4048,Tue Sep 17 21:50:47 +0000 2013,en
Wed Sep 17 22:00:05 +0000 2014,"b""RT @AlexSpamond: Looks like I'm buying the Sun tomorrow! #indyref #ScotDecides #VoteNo #VoteYes #Salmond #Edinburgh #Salmond http://t.co/qp\\u2026""",Sunny Leith,1484,3533,63,9926,4378,Tue Apr 24 09:59:03 +0000 2012,en
Wed Sep 17 21:59:18 +0000 2014,"b'RT @SaveBlighty: ""If you want a picture of the future, imagine a boot stamping on a human face - forever."" - 1984\\n#Salmond #VoteNo2014 http\\u2026'",Edinburgh,1392,1746,57,63885,118350,Thu Feb 05 09:05:26 +0000 2009,en
Wed Sep 17 21:58:38 +0000 2014,"b""Looks like I'm buying the Sun tomorrow! #indyref #ScotDecides #VoteNo #VoteYes #Salmond #Edinburgh #Salmond http://t.co/qpYBUMbFqH""","Edinburgh, Scotland",622,262,11,4674,9175,Wed Feb 26 13:04:56 +0000 2014,en
Wed Sep 17 21:56:44 +0000 2014,"b'RT @ferranmartin: Sobre lo de Escocia, una vi\\xf1eta alusiva: Convivencias. #humor #ScotlandDecides #salmond #9N2014 http://t.co/0PXZrkBi7u'",,217,664,3,7484,8528,Sat Feb 25 20:21:34 +0000 2012,es
Wed Sep 17 21:54:58 +0000 2014,"b'RT @SaveBlighty: ""If you want a picture of the future, imagine a boot stamping on a human face - forever."" - 1984\\n#Salmond #VoteNo2014 http\\u2026'",Wales,645,789,49,4267,26872,Tue Feb 02 20:49:53 +0000 2010,en
Wed Sep 17 21:54:50 +0000 2014,"b'RT @bcomininvisible: Still falling for ""we can keep the \\xa3"" lie? This is why we absolutely CAN\'T http://t.co/t7WxSjtgfY #indyref Why is #Sal\\u2026'","Scotland, United Kingdom",523,548,35,80,19280,Fri Dec 16 22:39:42 +0000 2011,en
Wed Sep 17 21:53:39 +0000 2014,"b'""If you want a picture of the future, imagine a boot stamping on a human face - forever."" - 1984\\n#Salmond #VoteNo2014 http://t.co/zjGLN8rAMn'","Britain, Europe, Earth",1571,2760,14,41349,6884,Thu Oct 10 03:09:27 +0000 2013,en
Wed Sep 17 21:52:26 +0000 2014,"b'RT @bcomininvisible: Still falling for ""we can keep the \\xa3"" lie? This is why we absolutely CAN\'T http://t.co/t7WxSjtgfY #indyref Why is #Sal\\u2026'",Nice...,203,626,12,5541,4405,Sat Sep 24 19:19:48 +0000 2011,en
Wed Sep 17 21:51:15 +0000 2014,"b'.@DavidCoburnUKip - #Scottish Independence False:\\n#Salmond selling freedom, what Scots will get is #EU rule\\nhttp://t.co/1Fw02olXUy #indyref'",Minneapolis,3706,4060,142,27900,185348,Tue Apr 06 08:39:34 +0000 2010,en
Wed Sep 17 21:48:31 +0000 2014,b'Good luck Scotland! #indyref #scotland #VoteYesScotland #Salmond',"Barberà del Vallès, Catalunya",428,381,7,1650,1804,Sat Sep 28 00:23:03 +0000 2013,es
Wed Sep 17 21:42:13 +0000 2014,b'RT @MayDayRally2014: Scottish National Party leader #Salmond pledges fealty to US imperialism - World Socialist Web Site http://t.co/bwpaTD\\u2026',"Brooklyn, NY",1957,2982,57,5686,15513,Mon Dec 21 17:36:43 +0000 2009,en
Wed Sep 17 21:40:14 +0000 2014,b'#Salmond turns his back on the question of #abusive Yessers: Alex Salmond did not seem impressed. \\u201cFirst Minister\\u2026 http://t.co/e3RObMpL13',Sumedang,3376,3471,483,10,440776,Mon May 05 07:15:12 +0000 2014,en
Wed Sep 17 21:39:56 +0000 2014,"b'#Obama ""UK is extraordinary partner &amp; force for good. I hope it remains strong, robust, united""\\n#Salmond Lord Snooties!\\n#indyref #leadership'",Salisbury ,622,623,32,136,22546,Wed Aug 03 21:51:53 +0000 2011,en
Wed Sep 17 21:39:24 +0000 2014,"b'#Obama ""UK is extraordinary partner &amp; force for good. I hope it remains strong, robust, united""\\n#Salmond Lord Snooties!\\n#indyref #statesman'",Salisbury ,622,623,32,136,22546,Wed Aug 03 21:51:53 +0000 2011,en
Wed Sep 17 21:39:06 +0000 2014,b'RT @SamSussex: Is Alex #Salmond claiming credit for the fall in unemployment in #Scotland? #PerthSpeach #IndyRef #SkyNews',Scotland,38,116,0,4,351,Fri Sep 12 15:40:03 +0000 2014,en-gb
Wed Sep 17 21:39:02 +0000 2014,"b'Still falling for ""we can keep the \\xa3"" lie? This is why we absolutely CAN\'T http://t.co/t7WxSjtgfY #indyref Why is #Salmond lying to us?'","In my bed, tweeting",7972,6697,180,80672,191393,Wed Jun 08 18:46:58 +0000 2011,en
Wed Sep 17 21:39:02 +0000 2014,b'@Seasicksal It will be if that dreamer #Salmond gets the result he wants ;-)',Kingston upon Hull,814,592,26,65393,74370,Fri Jul 23 16:03:03 +0000 2010,en
Wed Sep 17 21:38:47 +0000 2014,"b'Day 78 - made me laugh + sums it all up, good luck if you do vote yes #indyref #salmond #scotland #100daysofhappiness http://t.co/OaNSbN8afH'",,89,989,9,12746,2846,Thu Apr 02 18:38:37 +0000 2009,en
Wed Sep 17 21:37:38 +0000 2014,"b""Without answers to the key questions, how can #Yes be the right answer? There's a reason #Salmond won't answer these key questions!""",Omnipresent ,78,109,0,448,5198,Fri Sep 03 17:06:58 +0000 2010,en
Wed Sep 17 21:37:32 +0000 2014,"b'@JerLaneCC If Scotland vote YES on Thursday, I will never eat porridge, drink Irn Bru or wear that kilt in my wardrobe ever again! #salmond'",,99,88,0,462,925,Wed Mar 13 21:01:15 +0000 2013,en
Wed Sep 17 21:36:03 +0000 2014,"b'Obama: 2UK is extraordinary partner &amp; force for good.""\\n#Salmond ""Whine, whinge, moan. Poor, poor, me. nasty England""\\n#indyref'",Salisbury ,622,623,32,136,22546,Wed Aug 03 21:51:53 +0000 2011,en
Wed Sep 17 21:35:54 +0000 2014,"b'#Scottish independence: #Cameron, #Salmond make final appeals to voters; polls put No campaign in front http://t.co/CAGlZCr7Hl'",,3954,2706,66,35278,19815,Fri Jul 19 23:35:18 +0000 2013,en
Wed Sep 17 21:35:53 +0000 2014,"b""#Salmond has been the best thing for Gordon Brown's PR since... errr.. ever. I'll put a fiver on GB as next 1st minister if it goes to a NO.""",On the financial beach,6975,920,256,13664,21080,Tue Apr 08 10:53:46 +0000 2014,en
